key,value,os_process,pid,name,status,create_time,cpu_usage,cpu_cores,memory,user,device,mountpoint,filesystem,usage_total,usage_used,usage_free,usage_percent,gpu_id,gpu_name,gpu_usage,gpu_free,gpu_used,gpu_total,gpu_temp,if_name,if_address,if_netmask,if_broadcast
node,LPT-Dragback,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_system,Windows,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_rel,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_ver,10.0.18362,,,,,,,,,,,,,,,,,,,,,,,,,,,
os_bootTime,1618746155.528635,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_started,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
user_terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_total,25410252800,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_avail,19765268480,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_used,5644984320,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_perc,22.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Stotal,29168349184,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sfree,22463979520,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sused,6704369664,,,,,,,,,,,,,,,,,,,,,,,,,,,
ram_Sperc,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_read,42020058624,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk_write,42358380544,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_machine,AMD64,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_name,"Intel64 Family 6 Model 60 Stepping 3, GenuineIntel",,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_realCores,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_logiCores,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqMax,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_frqCur,2801.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpu_usage,13.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_sent,567174,,,,,,,,,,,,,,,,,,,,,,,,,,,
if_rec,10654978,,,,,,,,,,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,2936,svchost.exe,running,2021-04-18 13:43:09.301760,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3056,svchost.exe,running,2021-04-18 13:43:09.384593,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc igfxCUIService.exe,,False,3064,igfxCUIService.exe,running,2021-04-18 13:43:09.351176,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3124,svchost.exe,running,2021-04-18 13:43:09.437315,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3192,svchost.exe,running,2021-04-18 13:43:09.457719,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3200,svchost.exe,running,2021-04-18 13:43:09.457897,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3444,svchost.exe,running,2021-04-18 13:43:09.782518,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3556,svchost.exe,running,2021-04-18 13:43:09.871090,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3772,svchost.exe,running,2021-04-18 13:43:11.383190,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3812,svchost.exe,running,2021-04-18 13:43:10.195093,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,3828,svchost.exe,running,2021-04-18 13:44:55.516137,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc ShellExperienceHost.exe,,False,3852,ShellExperienceHost.exe,stopped,2021-04-22 07:29:50.384906,0.0,8,13131776,LPT-DRAGBACK\Dragback,,,,,,,,,,,,,,,,,,
proc CsrBtService.exe,,False,3876,CsrBtService.exe,running,2021-04-18 13:43:10.283675,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc RtkAudioService64.exe,,False,3920,RtkAudioService64.exe,running,2021-04-18 13:43:10.318291,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc SecurityHealthService.exe,,False,3940,SecurityHealthService.exe,running,2021-04-18 13:47:00.973181,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc ctfmon.exe,,False,3952,ctfmon.exe,running,2021-04-22 07:29:44.109724,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,4084,svchost.exe,running,2021-04-18 14:35:31.399030,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc dasHost.exe,,False,4152,dasHost.exe,running,2021-04-18 13:43:10.577177,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc spoolsv.exe,,False,4168,spoolsv.exe,running,2021-04-18 13:43:11.343937,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,4220,svchost.exe,running,2021-04-18 13:43:10.640492,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc svchost.exe,,False,4228,svchost.exe,running,2021-04-18 13:43:10.640677,0.0,0,0,unknown,,,,,,,,,,,,,,,,,,
proc SpyderUtility.exe,,False,4332,SpyderUtility.exe,running,2021-04-22 07:30:10.280106,0.0,8,18837504,LPT-DRAGBACK\Dragback,,,,,,,,,,,,,,,,,,
